"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"1","GO:0005615",5.40362744767475e-13,1,62,851,"extracellular space","CC",1.1633469532099e-08
"2","GO:0005887",1.44264539897335e-12,1,64,852,"integral component of plasma membrane","CC",1.55293563972486e-08
"3","GO:0005576",4.73405492996406e-12,1,78,1275,"extracellular region","CC",3.39731561957321e-08
"4","GO:0031226",1.93428373273213e-11,1,64,908,"intrinsic component of plasma membrane","CC",1.04107986204975e-07
"5","GO:0071944",9.6721112673229e-11,1,168,3797,"cell periphery","CC",4.16461766948389e-07
"6","GO:0030312",2.44809149509006e-09,1,32,337,"external encapsulating structure","CC",7.5292802568277e-06
"7","GO:0031012",2.44809149509006e-09,1,32,337,"extracellular matrix","CC",7.5292802568277e-06
"8","GO:0051239",5.51168026448659e-09,1,104,2124,"regulation of multicellular organismal process","BP",1.48326205517665e-05
"9","GO:0051241",7.81820435273802e-09,1,53,810,"negative regulation of multicellular organismal process","BP",1.83514253896095e-05
"10","GO:0032501",8.5240491381901e-09,1,206,5293,"multicellular organismal process","BP",1.83514253896095e-05
"11","GO:0009887",1.5327180211265e-08,1,53,816,"animal organ morphogenesis","BP",2.9998078433484e-05
"12","GO:0062023",8.26893057730517e-08,0.999999979848691,25,254,"collagen-containing extracellular matrix","CC",0.000148351505332336
"13","GO:0001667",1.12940863503876e-07,0.999999967852414,30,348,"ameboidal-type cell migration","BP",0.000187038757721149
"14","GO:0023052",2.12890541340441e-07,1,167,4213,"signaling","BP",0.000327380033179882
"15","GO:0050896",3.13261286681422e-07,1,219,6005,"response to stimulus","BP",0.000449613482730955
"16","GO:0048018",4.25097213354057e-07,0.999999896509632,22,242,"receptor ligand activity","MF",0.000571994869143718
"17","GO:0007165",4.64398519012451e-07,1,153,3819,"signal transduction","BP",0.000588119747989357
"18","GO:0044057",6.22629569779016e-07,0.999999788992459,34,467,"regulation of system process","BP",0.000744699555987358
"19","GO:0030545",7.57070518866108e-07,0.999999801418656,23,269,"signaling receptor regulator activity","MF",0.000839403221580533
"20","GO:0030546",7.79788398514128e-07,0.999999802409124,22,250,"signaling receptor activator activity","MF",0.000839403221580533
"21","GO:0004888",8.37354828457951e-07,0.999999721409492,32,429,"transmembrane signaling receptor activity","MF",0.000858448195327201
"22","GO:0007154",1.14675210445832e-06,0.999999562513469,166,4262,"cell communication","BP",0.00112220118440378
"23","GO:0007155",1.33475617568641e-06,0.999999575527542,57,1023,"cell adhesion","BP",0.00124938981331968
"24","GO:0048513",1.46553964379207e-06,0.999999462347771,114,2654,"animal organ development","BP",0.00130795002441784
"25","GO:0040012",1.51882347579758e-06,0.999999420598645,48,809,"regulation of locomotion","BP",0.00130795002441784
"26","GO:0005102",2.40283188082251e-06,0.999999020204676,56,1056,"signaling receptor binding","MF",0.00198963721393184
"27","GO:0072073",2.4970452845737e-06,0.999999557011188,14,106,"kidney epithelium development","BP",0.00199106992339212
"28","GO:0042221",3.29876157268523e-06,0.999998398666488,119,2864,"response to chemical","BP",0.00243067303115534
"29","GO:0040011",3.32568163164517e-06,0.999998539389331,71,1438,"locomotion","BP",0.00243067303115534
"30","GO:0016477",3.38706818406151e-06,0.999998570102488,61,1163,"cell migration","BP",0.00243067303115534
"31","GO:0030334",3.5687088958717e-06,0.99999851284602,44,733,"regulation of cell migration","BP",0.00247841076836199
"32","GO:0005201",3.87531656410671e-06,0.999999342088294,13,94,"extracellular matrix structural constituent","MF",0.00256371664506353
"33","GO:0051960",3.92970640935931e-06,0.999998611169498,31,433,"regulation of nervous system development","BP",0.00256371664506353
"34","GO:0098590",4.31972329371038e-06,0.999998074630135,51,907,"plasma membrane region","CC",0.00273527419971444
"35","GO:0048731",4.64037501010296e-06,0.999997455927976,138,3423,"system development","BP",0.0028543609597859
"36","GO:0072359",5.34810357833751e-06,0.99999759735359,51,922,"circulatory system development","BP",0.00319831449827856
"37","GO:0009653",5.58447167660798e-06,0.999997092834986,98,2212,"anatomical structure morphogenesis","BP",0.00324940785745117
"38","GO:2000145",5.79374468661504e-06,0.999997514759426,45,774,"regulation of cell motility","BP",0.0032824612988983
"39","GO:0051093",7.39835377343283e-06,0.999996824970316,43,735,"negative regulation of developmental process","BP",0.00408408098431373
"40","GO:0032502",8.00787093075381e-06,0.999995215380023,182,4898,"developmental process","BP",0.00429322276602384
"41","GO:0007423",8.17604781489979e-06,0.999996993233575,31,456,"sensory organ development","BP",0.00429322276602384
"42","GO:0040013",8.68870038764035e-06,0.999997425267232,22,265,"negative regulation of locomotion","BP",0.00435218148093543
"43","GO:2000026",8.73604829943174e-06,0.999995954358098,58,1128,"regulation of multicellular organismal development","BP",0.00435218148093543
"44","GO:0110110",8.98546459366844e-06,0.999999345037923,7,27,"positive regulation of animal organ morphogenesis","BP",0.00435218148093543
"45","GO:0050793",9.09694675284938e-06,0.999995300957936,89,1988,"regulation of developmental process","BP",0.00435218148093543
"46","GO:0051270",9.37909977491622e-06,0.999995781843412,47,839,"regulation of cellular component movement","BP",0.00438962258813416
"47","GO:0050767",1.02085658484714e-05,0.99999649652026,27,368,"regulation of neurogenesis","BP",0.00467617476918599
"48","GO:0060284",1.15297148120984e-05,0.999995606487503,32,481,"regulation of cell development","BP",0.00517131729561807
"49","GO:0001568",1.18147673850313e-05,0.999995214439263,36,575,"blood vessel development","BP",0.00517329011389358
"50","GO:0048870",1.22549953926598e-05,0.99999389257771,64,1298,"cell motility","BP",0.00517329011389358
"51","GO:0051674",1.22549953926598e-05,0.99999389257771,64,1298,"localization of cell","BP",0.00517329011389358
"52","GO:0015464",1.31909815555169e-05,0.999999551230255,5,12,"acetylcholine receptor activity","MF",0.00538656137866282
"53","GO:0022603",1.33671505079875e-05,0.999994006298636,45,795,"regulation of anatomical structure morphogenesis","BP",0.00538656137866282
"54","GO:0070371",1.35108139926514e-05,0.999996149661348,20,235,"ERK1 and ERK2 cascade","BP",0.00538656137866282
"55","GO:0035295",1.39267155100148e-05,0.999993533554325,49,899,"tube development","BP",0.00545142287663834
"56","GO:0070372",1.48239030397998e-05,0.999995910515951,19,217,"regulation of ERK1 and ERK2 cascade","BP",0.00565149825132365
"57","GO:0005518",1.55878090127774e-05,0.99999807842312,9,51,"collagen binding","MF",0.00565149825132365
"58","GO:0000795",1.57915398749458e-05,0.999998356640727,8,44,"synaptonemal complex","CC",0.00565149825132365
"59","GO:0099086",1.57915398749458e-05,0.999998356640727,8,44,"synaptonemal structure","CC",0.00565149825132365
"60","GO:0043542",1.59125308558795e-05,0.999995969013708,17,179,"endothelial cell migration","BP",0.00565149825132365
"61","GO:0048856",1.60128846361068e-05,0.999990108861239,171,4579,"anatomical structure development","BP",0.00565149825132365
"62","GO:0016021",1.6491966456662e-05,0.999990154007043,129,3283,"integral component of membrane","CC",0.0057267023523464
"63","GO:0007166",1.91896196695762e-05,0.999989348900612,86,1940,"cell surface receptor signaling pathway","BP",0.00655767177565564
"64","GO:0001655",1.95993235088064e-05,0.99999386118596,22,275,"urogenital system development","BP",0.00659302868470458
"65","GO:0051094",2.03855908936483e-05,0.999989992166222,55,1077,"positive regulation of developmental process","BP",0.00665945723751575
"66","GO:0005886",2.0415447892426e-05,0.999987648701754,137,3479,"plasma membrane","CC",0.00665945723751575
"67","GO:0038023",2.25601466848757e-05,0.999990809986584,34,550,"signaling receptor activity","MF",0.00714260879380425
"68","GO:0060089",2.25601466848757e-05,0.999990809986584,34,550,"molecular transducer activity","MF",0.00714260879380425
"69","GO:0005604",2.44316591799626e-05,0.999995834362652,11,81,"basement membrane","CC",0.00762303174616542
"70","GO:0098742",2.52553447484159e-05,0.999994040632856,15,144,"cell-cell adhesion via plasma-membrane adhesion molecules","BP",0.00768435926258138
"71","GO:0009888",2.53420738373022e-05,0.999986523292732,70,1492,"tissue development","BP",0.00768435926258138
"72","GO:0003008",2.57146552685692e-05,0.999986655698765,64,1335,"system process","BP",0.00768903907329205
