"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2515","GO:0005615",2.18905458734426e-10,1,97,848,"extracellular space","CC",4.71084547196484e-06
"2497","GO:0005576",1.33485327058563e-09,1,128,1267,"extracellular region","CC",1.02588718460739e-05
"2673","GO:0005887",1.43014012724078e-09,1,99,846,"integral component of plasma membrane","CC",1.02588718460739e-05
"7408","GO:0031226",7.79120419637793e-09,1,101,901,"intrinsic component of plasma membrane","CC",4.19166785765133e-05
"15800","GO:0071944",2.73469242832359e-08,1,310,3779,"cell periphery","CC",0.000117701162115048
"17358","GO:0099536",1.62375694319227e-07,1,71,605,"synaptic signaling","BP",0.000582387490291626
"17359","GO:0099537",2.17387183825878e-07,1,69,586,"trans-synaptic signaling","BP",0.000668310313704698
"6404","GO:0019883",4.79900631154843e-07,0.999999954140176,11,30,"antigen processing and presentation of endogenous antigen","BP",0.000914711323493697
"1018","GO:0002475",5.2562139334998e-07,0.999999957520139,10,25,"antigen processing and presentation via MHC class Ib","BP",0.000914711323493697
"3536","GO:0007268",5.44569739560686e-07,1,67,578,"chemical synaptic transmission","BP",0.000914711323493697
"17170","GO:0098916",5.44569739560686e-07,1,67,578,"anterograde trans-synaptic signaling","BP",0.000914711323493697
"1019","GO:0002476",5.525672493224e-07,0.999999964236859,9,20,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib","BP",0.000914711323493697
"1025","GO:0002484",5.525672493224e-07,0.999999964236859,9,20,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","BP",0.000914711323493697
"984","GO:0002428",8.71229581285425e-07,0.99999993892035,9,21,"antigen processing and presentation of peptide antigen via MHC class Ib","BP",0.00133920432780445
"7303","GO:0031012",1.42127585263049e-06,0.999999439560705,45,334,"extracellular matrix","CC",0.0018570845409568
"1024","GO:0002483",1.48859094990017e-06,0.999999860642447,10,27,"antigen processing and presentation of endogenous peptide antigen","BP",0.0018570845409568
"6406","GO:0019885",1.48859094990017e-06,0.999999860642447,10,27,"antigen processing and presentation of endogenous peptide antigen via MHC class I","BP",0.0018570845409568
"7015","GO:0030312",1.5533235008003e-06,0.999999385423853,45,335,"external encapsulating structure","CC",0.0018570845409568
"669","GO:0001916",2.61262225624779e-06,0.999999687653784,11,35,"positive regulation of T cell mediated cytotoxicity","BP",0.00295913847128696
"1027","GO:0002486",4.32445381029906e-06,0.999999690577232,8,19,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","BP",0.00465311229988179
"6810","GO:0023052",5.08576610768748e-06,0.99999655735463,325,4206,"signaling","BP",0.00518258725063859
"3460","GO:0007154",5.29818399228852e-06,0.999996409228653,328,4255,"cell communication","BP",0.00518258725063859
"10322","GO:0042605",5.98634671318895e-06,0.999999427696523,9,25,"peptide antigen binding","MF",0.00560113831599245
"667","GO:0001914",6.89484305533159e-06,0.999999066629029,11,38,"regulation of T cell mediated cytotoxicity","BP",0.00618237593961399
"12073","GO:0046979",9.32448403238167e-06,0.999999436664614,7,15,"TAP2 binding","MF",0.00802651585507414
"3535","GO:0007267",1.04044931736374e-05,0.999994000004396,113,1205,"cell-cell signaling","BP",0.00861171896525677
"3595","GO:0007423",1.11352699540853e-05,0.999994787854217,53,455,"sensory organ development","BP",0.00887522257081171
"4449","GO:0009986",1.15817113665726e-05,0.999994114705881,64,592,"cell surface","CC",0.00890137245030869
"2289","GO:0005102",1.51426581055145e-05,0.999991238948636,99,1054,"signaling receptor binding","MF",0.0112368966355404
"12071","GO:0046977",1.65279636973336e-05,0.999998868898076,7,16,"TAP binding","MF",0.0114736057666651
"12072","GO:0046978",1.65279636973336e-05,0.999998868898076,7,16,"TAP1 binding","MF",0.0114736057666651
